step_id,window_id,object_id,filtration_id,step_order,previous_object_id,current_object_id,quotient_object_id,strict,quotient_semistable,quotient_phase_num,quotient_phase_den,length_defect_rank,closure_defect_rank,source_reference,check_status,notes
hn_s3_1,win_R0_hn,s3,hn_s3,1,zero,s3,s3,true,true,3,1,0,0,finite retained-window HN filtration packet,verified,zero to s3 with quotient s3
hn_s2_1,win_R0_hn,s2,hn_s2,1,zero,s2,s2,true,true,2,1,0,0,finite retained-window HN filtration packet,verified,zero to s2 with quotient s2
hn_s1_1,win_R0_hn,s1,hn_s1,1,zero,s1,s1,true,true,1,1,0,0,finite retained-window HN filtration packet,verified,zero to s1 with quotient s1
hn_e32_1,win_R0_hn,e32,hn_e32,1,zero,s3,s3,true,true,3,1,0,0,finite retained-window HN filtration packet,verified,first HN step for e32
hn_e32_2,win_R0_hn,e32,hn_e32,2,s3,e32,s2,true,true,2,1,0,0,finite retained-window HN filtration packet,verified,second HN step for e32
hn_e21_1,win_R0_hn,e21,hn_e21,1,zero,s2,s2,true,true,2,1,0,0,finite retained-window HN filtration packet,verified,first HN step for e21
hn_e21_2,win_R0_hn,e21,hn_e21,2,s2,e21,s1,true,true,1,1,0,0,finite retained-window HN filtration packet,verified,second HN step for e21
hn_f321_1,win_R0_hn,f321,hn_f321,1,zero,s3,s3,true,true,3,1,0,0,finite retained-window HN filtration packet,verified,first HN step for f321
hn_f321_2,win_R0_hn,f321,hn_f321,2,s3,e32,s2,true,true,2,1,0,0,finite retained-window HN filtration packet,verified,second HN step for f321
hn_f321_3,win_R0_hn,f321,hn_f321,3,e32,f321,s1,true,true,1,1,0,0,finite retained-window HN filtration packet,verified,third HN step for f321
