firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_ptvv_only,ptvv_form_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,PTVV_form_is_input_not_the_dcritical_truncation_row
fw_vanishing_cycle,vanishing_cycle_complex,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,dcritical_structure_alone_does_not_construct_BBDJS_vanishing_cycles
fw_cosection,k3_semiregularity_cosection,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,dcritical_truncation_is_not_the_K3_cosection
fw_surjectivity,cosection_surjectivity,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,cosection_surjectivity_is_not_a_dcritical_structure
fw_rhomred,RHomred,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,reduced_self_Ext_complex_requires_cosection_kernel_data
fw_det,det_RHomred,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,determinant_line_not_constructed_by_this_row
fw_square_root,orientation_square_root,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,square_root_orientation_not_constructed_by_this_row
fw_quotient,quotient_orientation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,quotient_Cech_Borel_orientation_not_constructed_by_this_row
fw_transition,transition_compatibility,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,transition_compatibility_not_supplied_by_fixed_height_truncation
fw_trace,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,protected_integration_not_supplied
fw_scalar,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:joyce-dcritical-truncation,verified,scalar_trace_is_not_a_dcritical_truncation
