firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_holomorphic_two_form_only,holomorphic_two_form_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,the_form_sigmaS_is_input_not_the_cosection_row_without_Atiyah_trace
fw_dcritical,dcritical_structure_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,dcritical_structure_does_not_construct_cosection
fw_surjectivity,cosection_surjectivity,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,surjectivity_is_not_constructed_by_the_formula
fw_hall_additivity,filtered_hall_additivity,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,extension_additivity_is_a_later_row
fw_rhomred,RHomred,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,reduced_self_Ext_complex_requires_kernel_and_perfectness_rows
fw_det,det_RHomred,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,determinant_line_not_constructed_by_this_row
fw_square_root,orientation_square_root,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,square_root_orientation_not_constructed_by_this_row
fw_quotient,quotient_orientation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,quotient_Cech_Borel_orientation_not_constructed_by_this_row
fw_transition,transition_compatibility,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,transition_compatibility_not_supplied_by_fixed_height_cosection
fw_vanishing_cycle,vanishing_cycle_complex,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,cosection_does_not_construct_BBDJS_vanishing_cycles
fw_trace,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,protected_integration_not_supplied
fw_scalar,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:k3-semiregularity-cosection,verified,scalar_trace_is_not_a_cosection_of_the_obstruction_sheaf
