firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_dcritical,joyce_dcritical_truncation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,PTVV_shifted_symplectic_input_is_not_the_BBDJS_dcritical_truncation
fw_cosection,k3_semiregularity_cosection,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,PTVV_form_is_not_the_K3_cosection
fw_surjectivity,cosection_surjectivity,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,cosection_surjectivity_is_not_a_symplectic_restriction
fw_rhomred,RHomred,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,reduced_self_Ext_complex_requires_cosection_kernel_data
fw_det,det_RHomred,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,determinant_line_not_constructed_by_this_row
fw_square_root,orientation_square_root,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,square_root_orientation_not_constructed_by_this_row
fw_quotient,quotient_orientation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,quotient_Cech_Borel_orientation_not_constructed_by_this_row
fw_o2,o2_wall_atlas,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,O2_wall_atlas_not_supplied
fw_trace,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,protected_integration_not_supplied
fw_scalar,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:ptvv-finite-substack-symplectic,verified,scalar_trace_is_not_PTVV_shifted_symplectic_geometry
