obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,chart_orientation_status,proof_reference,check_status,notes
source_delta123_chart,compact_Hall,retained_delta123_source_chart,delta123_chart_rows.csv,source_chart_row,chart_for_delta123,row331_needs_a_source_chart_not_only_target_degree,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,no_source_delta123_chart_row_supplied
source_parity_rows,source_parity,source_29_even_93_odd_row,delta123_chart_rows.csv,source_parity_row,even_rank_29_odd_rank_93_for_delta123,target_29_93_does_not_prove_source_parity,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,no_source_parity_row_supplied
real_real_real_source_rows,source_presentation,source_real_real_real_rows,delta123_chart_rows.csv,source_presentation_row,two_real_real_real_source_directions_with_Jacobi_relation,target_T_words_are_not_source_rows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,no_source_real_real_real_rows_supplied
mixed_real_isotropic_source_rows,source_presentation,source_mixed_real_isotropic_rows,delta123_chart_rows.csv,source_presentation_row,twenty_seven_mixed_real_isotropic_source_directions,target_mixed_words_are_not_source_rows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,no_source_mixed_rows_supplied
odd_imaginary_source_rows,source_presentation,source_odd_imaginary_rows,delta123_chart_rows.csv,source_presentation_row,ninety_three_odd_imaginary_source_directions,target_odd_generators_are_not_source_rows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,no_source_odd_imaginary_rows_supplied
target_to_source_comparison,comparison,source_target_delta123_comparison,delta123_chart_rows.csv,comparison_row,comparison_identifies_source_block_with_target_29_93_split,orientation_needs_source_realization_of_target_presentation,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,no_source_target_comparison_row_supplied
quotient_orientation,orientation,quotient_orientation_on_delta123_chart,delta123_chart_rows.csv,quotient_orientation_row,o_R_restricted_to_delta123_chart,orientation_sign_needs_the_source_orientation_line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,no_quotient_orientation_row_supplied
determinant_square,orientation,determinant_square_for_delta123_chart,delta123_chart_rows.csv,determinant_square_row,orientation_square_matches_reduced_determinant,chart_orientation_must_be_a_Joyce_Upmeier_orientation_row,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,no_determinant_square_row_supplied
transition_compatibility,transition,transition_compatible_delta123_orientation,delta123_chart_rows.csv,transition_row,source_delta123_chart_sign_survives_R_to_Rprime,pro_object_orientation_requires_transition_compatibility,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,no_transition_row_supplied
row332_parity_split_compatibility,orientation,row_332_29_93_compatibility,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_332,orientation_line_compatible_with_parity_split_29_93,row331_is_local_chart_criterion_not_global_orientation_line_compatibility,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,row332_kept_separate
