coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,one_delta123_chart_orientation_criterion_recorded
target_delta123_even_rank,target_parity,29,29,0,certificates/targets/delta5_gn_kac/delta123_presentation_split/delta123_degree.csv,verified,target_even_rank_imported
target_delta123_odd_rank,target_parity,93,93,0,certificates/targets/delta5_gn_kac/delta123_presentation_split/delta123_degree.csv,verified,target_odd_rank_imported
target_delta123_signed_dimension,target_signed_dimension,-64,-64,0,certificates/targets/delta5_gn_kac/delta123_presentation_split/delta123_degree.csv,verified,target_signed_dimension_imported
target_real_real_real_even,target_even_decomposition,2,2,0,certificates/targets/delta5_gn_kac/delta123_presentation_split/real_real_real_words.csv,verified,two_real_real_real_directions_imported
target_mixed_real_isotropic_even,target_even_decomposition,27,27,0,certificates/targets/delta5_gn_kac/delta123_presentation_split/mixed_real_isotropic_words.csv,verified,twenty_seven_mixed_even_directions_imported
target_odd_imaginary_simple,target_odd_decomposition,93,93,0,certificates/targets/delta5_gn_kac/delta123_presentation_split/odd_imaginary_generators.csv,verified,ninety_three_odd_generators_imported
expected_chart_sign,expected_chart_sign_minus_one,-1,-1,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,odd_rank_ninety_three_gives_minus_one_if_source_rows_exist
source_delta123_chart_rows,source_chart_rows,0,0,0,delta123_chart_rows.csv,verified,no_source_delta123_chart_rows_supplied
source_parity_rows,source_parity_rows,0,0,0,delta123_chart_rows.csv,verified,no_source_parity_rows_supplied
unconditional_orientation_sign_claim,unconditional_claim,0,0,0,blocked_obligations.csv,verified,no_unconditional_delta123_sign_claim
row332_parity_compatibility_claim,row332_claim,0,0,0,blocked_obligations.csv,verified,row332_kept_open
