firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_target_parity,target_parity_29_93,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,target_parity_is_input_not_source_chart_orientation
fw_delta123_presentation,delta123_presentation_split_target_data,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,target_presentation_does_not_construct_source_chart
fw_smult,Borcherds_smult_minus64,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,signed_multiplicity_forgets_29_and_93_source_rows
fw_qrs,monic_qrs_coefficient_93,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,coefficient_is_not_source_orientation
fw_additive_m,additive_m_minus93,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,additive_correction_is_not_source_orientation
fw_real_real,target_real_real_real_2,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,target_real_words_are_not_source_chart_rows
fw_mixed,target_mixed_real_isotropic_27,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,target_mixed_words_are_not_source_chart_rows
fw_odd,target_odd_imaginary_93,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,target_odd_generators_are_not_source_chart_rows
fw_isotropic,isotropic_aij_chart_signs,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,row330_isotropic_signs_are_not_delta123_chart_orientation
fw_pfaffian_ledger,Pfaffian_obstruction_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,empty_pfaffian_ledger_is_not_orientation_data
fw_compact_hall_ledger,compact_Hall_empty_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,empty_source_ledger_is_not_source_chart
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,trace_forgets_source_orientation
fw_protected_trace,protected_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:delta123-chart-orientation,verified,protected_trace_requires_later_integration_data
