coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,one_line_level_compatibility_criterion_recorded
target_delta123_even_rank,target_parity,29,29,0,certificates/targets/delta5_gn_kac/delta123_presentation_split/delta123_degree.csv,verified,target_even_rank_imported
target_delta123_odd_rank,target_parity,93,93,0,certificates/targets/delta5_gn_kac/delta123_presentation_split/delta123_degree.csv,verified,target_odd_rank_imported
target_delta123_signed_dimension,target_signed_dimension,-64,-64,0,certificates/targets/delta5_gn_kac/delta123_presentation_split/delta123_degree.csv,verified,target_signed_dimension_imported
expected_chart_sign,expected_chart_sign_minus_one,-1,-1,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,odd_rank_ninety_three_gives_minus_one_if_source_line_data_exist
determinant_line_input,determinant_lines_defined,1,1,0,certificates/orientation/rhomred_determinant/manifest.json,verified,reduced_determinant_line_is_defined
orientation_square_root_rows,orientation_square_root_rows_supplied,0,0,0,certificates/orientation/rhomred_square_root/manifest.json,verified,no_orientation_square_root_rows_supplied
source_parity_block_rows,source_parity_block_rows_supplied,0,0,0,certificates/sources/k3e_compact_hall/parity_blocks.csv,verified,no_source_parity_block_rows_supplied
source_parity_involution_rows,source_parity_involution_rows_supplied,0,0,0,certificates/hall/transition_parity_decomposition_preservation/parity_involutions.csv,verified,no_source_parity_involution_rows_supplied
parity_transition_rows,parity_transition_rows_supplied,0,0,0,certificates/hall/transition_parity_decomposition_preservation/parity_transition_matrices.csv,verified,no_parity_transition_rows_supplied
orientation_transition_rows,orientation_transition_rows_supplied,0,0,0,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,verified,no_orientation_transition_rows_supplied
compatibility_rows,compatibility_rows_supplied,0,0,0,compatibility_rows.csv,verified,no_delta123_line_compatibility_rows_supplied
unconditional_compatibility_claim,unconditional_claim,0,0,0,blocked_obligations.csv,verified,no_unconditional_line_compatibility_claim
row333_negative_root_claim,row333_claim,0,0,0,blocked_obligations.csv,verified,row333_kept_open
row334_chevalley_claim,row334_claim,0,0,0,blocked_obligations.csv,verified,row334_kept_open
