firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_target_parity,target_parity_29_93,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,target_parity_is_input_not_line_level_compatibility
fw_signed_superdimension,signed_superdimension_minus64,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,signed_dimension_forgets_the_orientation_square_root_and_parity_blocks
fw_row331_sign,row331_chart_sign_minus_one,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,local_chart_sign_is_not_global_line_compatibility
fw_determinant_line,determinant_line_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,determinant_line_without_square_root_is_not_orientation_line
fw_square_root_ledger,square_root_obstruction_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,obstruction_ledger_is_not_a_square_root_row
fw_compact_hall_ledger,compact_Hall_empty_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,empty_source_ledger_is_not_source_parity
fw_transition_parity,transition_parity_obstruction_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,obstruction_ledger_is_not_parity_transition
fw_transition_orientation,transition_orientation_obstruction_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,obstruction_ledger_is_not_Picard_transport
fw_formal_pushforward,formal_parity_pushforward,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,formal_pushforward_does_not_construct_compact_source_parity
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,trace_forgets_orientation_line_and_parity_involution
fw_protected_trace,protected_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,protected_trace_requires_later_integration_data
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,pfaffian_product_is_not_orientation_line_compatibility
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-delta123-parity-compatibility,verified,Maass_character_compares_after_Weyl_transport_not_source_parity
