coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
retained_residual_group_count,residual_group_rows,3,3,0,certificates/moduli/retained_rigidification_inertia/residual_inertia.csv,verified,three_residual_groups_imported
template_count,group_cohomology_templates,3,3,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,odd_klein_four_two_primary_templates_recorded
finite_stabilizer_orientation_row_count,finite_stabilizer_rows,0,0,0,certificates/orientation/k3e_reduced_orientation/finite_stabilizers.csv,verified,no_finite_stabilizer_orientation_rows_supplied
edge_reduction_count,edge_reduction_rows,0,0,0,certificates/orientation/k3e_reduced_orientation/finite_stabilizers.csv,verified,no_edge_reduction_rows_supplied
beta_representative_count,equivariant_beta_representatives,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta/residual_group_beta_rows.csv,verified,no_beta_representatives_supplied
beta_coefficient_count,beta_coefficients,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta/residual_group_beta_rows.csv,verified,no_beta_coefficient_rows_supplied
beta_value_count,beta_values,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta/residual_group_beta_rows.csv,verified,no_beta_values_computed
beta_vanishing_claim,beta_zero_claims,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta/residual_group_beta_rows.csv,verified,row_286_not_supplied
linearization_claim,linearization_rows,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta/residual_group_beta_rows.csv,verified,rows_288_289_not_supplied
protected_integration_claim,protected_integration,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta/blocked_obligations.csv,verified,protected_integration_not_supplied
