firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_residual_inertia_finite,residual_inertia_finite,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,residual_finiteness_is_group_input_not_beta_edge_class
fw_residual_group_order_one,residual_group_order_one,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,order_one_group_does_not_replace_missing_orientation_edge_row
fw_finite_closed_stratification_only,finite_closed_stratification_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,stratum_without_beta_representative_does_not_compute_beta
fw_cyclic_restrictions_only,cyclic_restrictions_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,cyclic_restrictions_do_not_detect_A12_or_edge_reduction
fw_connected_free_e_class,connected_free_E_class,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,connected_free_E_Borel_class_is_separate_from_finite_stabilizer_beta
fw_linearization_character,linearization_character,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,lambda_H_is_independent_degree_one_data_not_row_285_beta
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,scalar_trace_does_not_compute_finite_stabilizer_beta
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,Maass_character_values_do_not_compute_beta_H
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,OP_scalar_branch_is_not_a_finite_stabilizer_edge_row
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-class-criterion,verified,protected_integration_requires_orientation_data_not_supplied_here
