coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
retained_residual_group_count,residual_group_rows,3,3,0,certificates/orientation/rhomred_finite_stabilizer_beta_vanishing/beta_vanishing_obstruction_rows.csv,verified,three_residual_groups_imported
nulltrivialization_obstruction_count,nulltrivialization_rows,3,3,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/beta_nulltrivialization_obstruction_rows.csv,verified,three_nulltrivialization_obstruction_rows_recorded
beta_cocycle_count,beta_cocycles,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/beta_nulltrivialization_obstruction_rows.csv,verified,no_beta_cocycles_supplied
beta_zero_count,beta_zero_rows,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_vanishing/beta_vanishing_obstruction_rows.csv,verified,no_beta_zero_rows_supplied
one_cochain_count,one_cochains,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/beta_nulltrivialization_obstruction_rows.csv,verified,no_one_cochains_supplied
coboundary_defect_zero_count,coboundary_defect_zero_rows,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/beta_nulltrivialization_obstruction_rows.csv,verified,no_coboundary_defect_zero_rows_supplied
subgroup_restriction_row_count,subgroup_restriction_rows,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/subgroup_restriction_obstruction_rows.csv,verified,no_subgroup_restriction_rows_supplied
comparison_zero_cochain_count,comparison_zero_cochains,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/subgroup_restriction_obstruction_rows.csv,verified,no_comparison_zero_cochains_supplied
chain_coherence_count,chain_coherence_rows,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/subgroup_restriction_obstruction_rows.csv,verified,no_chain_coherence_rows_supplied
beta_null_trivialization_claim,null_trivializations,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/beta_nulltrivialization_obstruction_rows.csv,verified,row_287_not_supplied
linearization_claim,linearization_rows,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/blocked_obligations.csv,verified,rows_288_289_not_supplied
protected_integration_claim,protected_integration,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/blocked_obligations.csv,verified,protected_integration_not_supplied
