firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_residual_group_order_one,residual_group_order_one,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,order_one_group_is_zero_template_not_missing_orientation_edge_row
fw_missing_beta_value,missing_beta_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,missing_beta_value_is_not_zero_value
fw_cyclic_restrictions_only,cyclic_restrictions_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,cyclic_restrictions_do_not_detect_A12
fw_connected_free_e_class,connected_free_E_class,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,connected_free_E_Borel_class_is_separate_from_finite_stabilizer_beta
fw_null_trivialization,null_trivialization,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,row_287_choice_is_stronger_than_row_286_vanishing
fw_linearization_character,linearization_character,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,lambda_H_is_independent_degree_one_data_not_beta_vanishing
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,scalar_trace_does_not_prove_beta_H_zero
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,Maass_character_values_do_not_prove_beta_H_zero
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,OP_scalar_branch_is_not_a_finite_stabilizer_zero_row
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,protected_integration_requires_orientation_data_not_supplied_here
