firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_beta_zero_claim_only,beta_zero_claim_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,beta_zero_is_degree_two_data_not_zero_linearization
fw_beta_vanishing_row,beta_vanishing_row,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,row_286_cannot_substitute_for_row_289
fw_beta_nulltrivialization,beta_nulltrivialization,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,row_287_nulltrivialization_does_not_kill_degree_one_character
fw_missing_lambda_value,missing_lambda_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,missing_lambda_value_is_not_zero_value
fw_residual_group_order_one,residual_group_order_one,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,current_order_one_templates_do_not_prove_general_beta_to_lambda_implication
fw_determinant_anchor_translation_weight,determinant_anchor_translation_weight,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,translation_weight_is_not_zero_orientation_linearization
fw_class_invariance,class_invariance,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,class_invariance_does_not_choose_zero_character
fw_cyclic_quadratic_restrictions,cyclic_quadratic_restrictions,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,quadratic_restrictions_are_beta_data_not_lambda_values
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,scalar_trace_does_not_prove_zero_stabilizer_character
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,Maass_character_values_are_not_orientation_line_actions
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,OP_scalar_branch_is_not_a_zero_linearization_row
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-gerbe-linearization-independence,verified,protected_integration_requires_orientation_data_not_supplied_here
