firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_missing_first_cyclic_row,missing_first_cyclic_row,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,local_restriction_identity_is_not_actual_retained_restriction_value
fw_missing_r1_value,missing_r1_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,missing_r1_value_is_not_zero_or_one
fw_missing_b20_value,missing_b20_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,identity_b20_equals_r1_does_not_supply_value
fw_b11_identity,b11_identity,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,row_293_is_not_claimed_here
fw_b02_identity,b02_identity,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,row_294_is_not_claimed_here
fw_beta_vanishing,beta_vanishing,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,row_292_identity_does_not_prove_beta_zero
fw_linearization_character,linearization_character,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,row_292_is_degree_two_coefficient_data_not_degree_one_linearization
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,scalar_trace_does_not_supply_cyclic_restriction_values
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,Maass_character_values_are_not_E2_cyclic_restriction_rows
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,OP_scalar_branch_is_not_a_Klein_four_restriction_row
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-klein-four-b20,verified,protected_integration_requires_orientation_data_not_supplied_here
