coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
retained_residual_group_count,residual_group_rows,3,3,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/beta_nulltrivialization_obstruction_rows.csv,verified,three_residual_groups_imported
linearization_obstruction_count,linearization_rows,3,3,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/linearization_character_obstruction_rows.csv,verified,three_linearization_obstruction_rows_recorded
finite_linearization_row_count,finite_linearization_rows,0,0,0,certificates/orientation/k3e_reduced_orientation/finite_stabilizers.csv,verified,no_finite_linearization_rows_supplied
orientation_line_action_count,orientation_line_actions,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/linearization_character_obstruction_rows.csv,verified,no_orientation_line_action_rows_supplied
generator_basis_count,generator_basis_rows,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/basis_restriction_obstruction_rows.csv,verified,no_generator_basis_rows_supplied
character_value_count,character_values,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/linearization_character_obstruction_rows.csv,verified,no_character_values_supplied
h1_coordinate_count,H1_coordinates,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/linearization_character_obstruction_rows.csv,verified,no_H1_coordinate_rows_supplied
lambda_computed_claim,lambda_character_computed,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/linearization_character_obstruction_rows.csv,verified,row_288_not_supplied
lambda_vanishing_claim,lambda_zero_rows,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/blocked_obligations.csv,verified,row_289_not_supplied
transition_compatibility_claim,transition_compatibility,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/blocked_obligations.csv,verified,transition_compatibility_not_supplied
protected_integration_claim,protected_integration,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/blocked_obligations.csv,verified,protected_integration_not_supplied
