firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_beta_zero_claim_only,beta_zero_claim_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,beta_zero_is_degree_two_data_not_degree_one_character
fw_beta_nulltrivialization,beta_nulltrivialization,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,nulltrivialization_kills_gerbe_but_does_not_compute_residual_character
fw_residual_group_order_one,residual_group_order_one,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,order_one_H1_template_does_not_supply_orientation_line_action_row
fw_determinant_anchor_translation_weight,determinant_anchor_translation_weight,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,translation_weight_is_not_coherent_stabilizer_linearization
fw_stabilizer_restriction_formula,stabilizer_restriction_formula,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,h_maps_to_chi_eta_h_is_not_a_lambda_character_row
fw_class_invariance,class_invariance,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,class_invariance_does_not_choose_coherent_isomorphisms
fw_cyclic_quadratic_restrictions,cyclic_quadratic_restrictions,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,quadratic_restrictions_are_beta_data_not_lambda_values
fw_subgroup_nulltrivialization,subgroup_nulltrivialization,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,row_287_subgroup_cochains_are_not_row_288_character_values
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,scalar_trace_does_not_compute_stabilizer_sign_character
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,Maass_character_values_are_not_orientation_line_actions
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,OP_scalar_branch_is_not_a_finite_stabilizer_linearization_row
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-character-criterion,verified,protected_integration_requires_orientation_data_not_supplied_here
