firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_retained_residual_group_only,residual_group_type_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,current_group_template_does_not_supply_a_retained_two_primary_edge_row
fw_missing_edge_row,missing_edge_row,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,local_H2_basis_is_not_an_actual_retained_edge_class
fw_missing_coefficients,missing_coefficients,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,coefficient_symbols_are_not_coefficient_values
fw_cyclic_restrictions_only,cyclic_restrictions_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,cyclic_restrictions_do_not_detect_A12
fw_beta_vanishing,beta_vanishing,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,row_296_class_form_does_not_prove_beta_zero
fw_linearization_character,linearization_character,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,row_296_is_degree_two_not_degree_one
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,scalar_trace_does_not_supply_two_primary_edge_coefficients
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,Maass_character_values_are_not_two_primary_Borel_edge_rows
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,OP_scalar_branch_is_not_a_two_primary_class_row
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-class,verified,protected_integration_requires_orientation_data_not_supplied_here
