firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_cyclic_restrictions_only,cyclic_restrictions_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,cyclic_restrictions_kill_x1x2_and_do_not_detect_A12
fw_coordinate_cyclic_restrictions,coordinate_cyclic_restrictions,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,coordinate_cyclic_restrictions_see_y_terms_not_x1x2
fw_missing_A12_value,missing_A12_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,detector_formula_does_not_supply_retained_value
fw_residual_group_type_only,residual_group_type_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,group_template_does_not_supply_A12
fw_beta_vanishing,beta_vanishing,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,row_297_detector_does_not_prove_beta_zero
fw_linearization_character,linearization_character,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,row_297_is_degree_two_not_degree_one
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,scalar_trace_does_not_supply_A12
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,Maass_character_values_are_not_two_primary_A12_rows
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,OP_scalar_branch_is_not_a_two_primary_A12_row
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-two-primary-mixed-term,verified,protected_integration_requires_orientation_data_not_supplied_here
