coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
retained_strata_count,free_e_rows,3,3,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-class-criterion,verified,three_retained_strata_recorded
translation_action_count,free_E_action_rows,3,3,0,certificates/moduli/retained_e_translation_rigidifications/translation_actions.csv,verified,three_free_actions_imported
basis_count,connected_BE_basis_rows,1,1,0,chapters/02_k3xe_setup.tex:lem:connected-e-descent,verified,one_connected_E_basis_row_recorded
equivariant_borel_representative_count,equivariant_borel_rows,0,0,0,certificates/orientation/rhomred_free_e_borel/free_e_obstruction_rows.csv,verified,no_equivariant_Borel_representatives_supplied
edge_reduction_count,edge_reduction_rows,0,0,0,certificates/orientation/rhomred_free_e_borel/free_e_obstruction_rows.csv,verified,no_edge_reduction_rows_supplied
coefficient_row_count,a1_a2_coefficient_rows,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1353,verified,no_a1_a2_coefficients_supplied
free_e_value_count,free_E_class_value_rows,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1353,verified,no_free_E_class_values_computed
free_e_vanishing_claim,free_E_vanishing_claim_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1359,verified,no_free_E_zero_claim
free_e_null_trivialization_claim,free_E_null_trivialization_claim_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1360,verified,no_free_E_null_trivialization_claim
protected_integration_claim,protected_integration_claim_count,0,0,0,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,no_protected_integration_claim
