firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_free_e_formula,free_e_formula_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,formula_without_cocycle_and_cochain_is_not_null_trivialization
fw_free_e_zero_claim,free_e_zero_claim_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,zero_class_without_chosen_cochain_is_not_row_284
fw_h1_be_zero,H1_BE_zero,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,H1_BE_zero_is_uniqueness_not_existence_of_cochain
fw_empty_quotient_borel,empty_quotient_borel_table,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,empty_table_is_obstruction_not_trivialization
fw_free_action,free_E_action_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,free_action_does_not_construct_a_Cech_Borel_cochain
fw_finite_stabilizer,finite_stabilizer_bits,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,finite_stabilizer_bits_are_separate_from_connected_free_E_null_trivialization
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,scalar_trace_does_not_construct_a_Cech_cochain
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,Maass_character_values_do_not_construct_null_trivialization
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,OP_scalar_branch_is_not_a_Cech_Borel_trivialization
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:free-e-borel-nulltrivialization-criterion,verified,protected_integration_not_supplied
