coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:isotropic-aij-chart-orientation,verified,one_isotropic_chart_orientation_criterion_recorded
target_isotropic_ray_count,target_isotropic_rays,3,3,0,certificates/lattice/type_ii_chamber_isotropic/isotropic_rays.csv,verified,a_12_a_13_a_23_imported
target_aij_even_rank,target_aij_even_rank,10,10,0,certificates/targets/delta5_gn_kac/wle3_target_parity/target_degrees.csv,verified,each_aij_has_target_even_rank_ten
target_aij_odd_rank,target_aij_odd_rank,0,0,0,certificates/targets/delta5_gn_kac/wle3_target_parity/target_degrees.csv,verified,each_aij_has_target_odd_rank_zero
expected_chart_sign,expected_chart_sign_plus_one,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:isotropic-aij-chart-orientation,verified,odd_rank_zero_gives_plus_one_if_source_rows_exist
source_isotropic_chart_rows,source_isotropic_chart_rows,0,0,0,isotropic_chart_rows.csv,verified,no_source_isotropic_chart_rows_supplied
source_parity_rows,source_parity_rows,0,0,0,isotropic_chart_rows.csv,verified,no_source_parity_rows_supplied
unconditional_orientation_vector_claim,orientation_vector_claimed_unconditionally,0,0,0,manifest.json,verified,no_unconditional_plus_one_vector_claimed
row331_delta123_claim,row331_delta123_chart_orientation,0,0,0,blocked_obligations.csv,verified,row331_kept_open
row332_parity_compatibility_claim,row332_29_93_compatibility,0,0,0,blocked_obligations.csv,verified,row332_kept_open
