coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
definition_count,definition_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:def:local-divisor-monodromy-datum,verified,one_definition_row_recorded
local_divisor_rows,local_divisor_rows,0,0,0,local_divisor_rows.csv,verified,no_local_divisor_rows_supplied
normal_tube_rows,normal_tube_rows,0,0,0,local_divisor_rows.csv,verified,no_normal_tube_rows_supplied
meridian_rows,meridian_rows,0,0,0,local_monodromy_rows.csv,verified,no_meridian_rows_supplied
coefficient_system_rows,coefficient_system_rows,0,0,0,local_monodromy_rows.csv,verified,no_restricted_KR_rows_supplied
pfaffian_line_rows,pfaffian_line_rows,0,0,0,local_monodromy_rows.csv,verified,no_pfaffian_line_factor_rows_supplied
monodromy_operator_rows,monodromy_operator_rows,0,0,0,local_monodromy_rows.csv,verified,no_monodromy_operator_rows_supplied
epsilon_extension_claim,epsilon_o_extended_to_local_divisors,0,0,0,manifest.json,verified,definition_does_not_extend_epsilon_o
row328_irrelevance_claim,local_monodromy_irrelevance_to_maass,0,0,0,blocked_obligations.csv,verified,row328_kept_open
local_monodromy_constructed_claim,local_divisor_monodromy_constructed,0,0,0,manifest.json,verified,no_local_monodromy_constructed
