firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_retained_dual_closure,retained_dual_closure,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,moduli_dual_closure_is_not_compact_source_orientation_transport
fw_target_negative_blocks,target_negative_dual_formal_block,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,target_formal_blocks_are_not_source_pairing_matrices
fw_source_pairing_false,source_pairing_false_target_rows,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,target_rows_explicitly_do_not_supply_source_pairing
fw_formal_pairing_pushforward,formal_pairing_pushforward,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,formal_degree_compatibility_for_supplied_pairings_is_not_a_source_pairing
fw_compact_hall_empty_ledger,compact_Hall_empty_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,empty_source_ledger_is_not_negative_root_data
fw_G_entries_empty,empty_G_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,empty_pairing_table_is_not_a_pairing
fw_row332,row332_delta123_parity_compatibility,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,row332_positive_degree_criterion_is_not_negative_root_compatibility
fw_determinant_line,determinant_line_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,determinant_line_without_dual_orientation_square_is_not_negative_root_compatibility
fw_square_root_ledger,square_root_obstruction_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,obstruction_ledger_is_not_orientation_square_root_transport
fw_chevalley_word,Chevalley_word_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,Chevalley_language_without_source_antiinvolution_rows_is_not_row333
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,trace_forgets_source_pairing_orientation_and_duality
fw_protected_trace,protected_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,protected_trace_requires_later_integration_data
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-line-negative-root-compatibility,verified,pfaffian_product_is_not_source_positive_negative_pairing
