coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,one_Chevalley_antiinvolution_criterion_recorded
target_relation_rows,target_presentation,19,19,0,certificates/targets/delta5_gn_kac/a071_target_presentation/target_relation_rows.csv,verified,nineteen_target_relation_rows_imported_as_target_only
target_negative_dual_formal_blocks,target_pairing_blocks,12,12,0,certificates/targets/delta5_gn_kac/a071_target_presentation/target_pairing_blocks.csv,verified,twelve_target_formal_negative_dual_blocks_imported
target_source_pairing_true_rows,target_pairing_blocks,0,0,0,certificates/targets/delta5_gn_kac/a071_target_presentation/target_pairing_blocks.csv,verified,no_target_row_is_a_source_pairing
retained_dual_hn_rows,retained_dual_closure,7,7,0,certificates/moduli/retained_dual_closure/dual_closure.csv,verified,seven_retained_HN_dual_rows_imported
source_simple_representative_rows,compact_Hall_simple_representatives,0,0,0,certificates/sources/k3e_compact_hall/simple_representatives.csv,verified,no_source_simple_representatives_supplied
source_bracket_rows,compact_Hall_B_entries,0,0,0,certificates/sources/k3e_compact_hall/B_entries.csv,verified,no_source_bracket_rows_supplied
source_chevalley_relation_rows,compact_Hall_relation_rows,0,0,0,certificates/sources/k3e_compact_hall/relation_rows.csv,verified,no_source_Chevalley_relation_rows_supplied
source_pairing_rows,compact_Hall_G_entries,0,0,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,no_compact_source_pairing_rows_supplied
source_radical_rows,compact_Hall_K_entries,0,0,0,certificates/sources/k3e_compact_hall/K_entries.csv,verified,no_source_radical_rows_supplied
source_parity_rows,compact_Hall_parity_blocks,0,0,0,certificates/sources/k3e_compact_hall/parity_blocks.csv,verified,no_source_parity_blocks_supplied
orientation_transition_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,verified,no_orientation_transition_rows_supplied
chevalley_antiinvolution_rows,antiinvolution_rows,0,0,0,chevalley_antiinvolution_rows.csv,verified,no_Chevalley_antiinvolution_rows_supplied
row335_frobenius_claim,row335_claim,0,0,0,blocked_obligations.csv,verified,row335_kept_open
row336_trace_degree_claim,row336_claim,0,0,0,blocked_obligations.csv,verified,row336_kept_open
row337_serre_sign_claim,row337_claim,0,0,0,blocked_obligations.csv,verified,row337_kept_open

