firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_target_chevalley_language,target_Chevalley_language,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,target_Chevalley_words_are_not_source_antiinvolution_rows
fw_target_presentation,target_presentation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,target_relation_rows_do_not_construct_source_maps
fw_retained_dual_closure,retained_dual_closure,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,moduli_dual_closure_is_not_Chevalley_antiinvolution
fw_formal_pairing_pushforward,formal_pairing_pushforward,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,formal_degree_compatibility_for_supplied_pairings_is_not_a_source_pairing
fw_row333_negative_root_criterion,row333_negative_root_criterion,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,row333_negative_root_compatibility_criterion_does_not_supply_source_antiinvolution
fw_compact_hall_empty_ledger,compact_Hall_empty_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,empty_source_ledger_is_not_an_antiinvolution
fw_empty_simple_representatives,empty_simple_representatives,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,empty_simple_representative_table_is_not_e_i_f_i_h_i_data
fw_empty_relation_rows,empty_relation_rows,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,empty_relation_table_is_not_Chevalley_relation_proof
fw_empty_B_entries,empty_B_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,empty_B_table_is_not_source_bracket
fw_empty_G_entries,empty_G_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,empty_pairing_table_is_not_source_Hopf_pairing
fw_determinant_line,determinant_line_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,determinant_line_without_orientation_lift_is_not_orientation_antiinvolution
fw_square_root_ledger,square_root_obstruction_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,obstruction_ledger_is_not_orientation_square_root_transport
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,trace_forgets_source_antiinvolution_pairing_and_orientation_data
fw_protected_trace,protected_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,protected_trace_requires_later_integration_data
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,pfaffian_product_is_not_source_Chevalley_antiinvolution

