coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,one_orientation_limit_survival_criterion_recorded
reduced_orientation_line_rows,k3e_reduced_orientation,0,0,0,certificates/orientation/k3e_reduced_orientation/orientation_lines.csv,verified,no_finite_orientation_line_rows_supplied
reduced_orientation_transition_rows,k3e_reduced_orientation,0,0,0,certificates/orientation/k3e_reduced_orientation/transitions.csv,verified,no_reduced_orientation_transition_rows_supplied
square_root_obstruction_rows,rhomred_square_root,3,3,0,certificates/orientation/rhomred_square_root/square_root_obstruction_rows.csv,verified,three_missing_square_root_rows_imported_as_obstructions
square_root_constructed_rows,rhomred_square_root,0,0,0,certificates/orientation/rhomred_square_root/square_root_obstruction_rows.csv,verified,no_square_root_constructed_rows_supplied
orientation_transition_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,verified,no_Picard_transition_rows_supplied
transition_defect_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/transition_defects.csv,verified,no_strict_composition_or_ML_rows_supplied
null_trivialization_transport_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/null_trivialization_transport.csv,verified,no_quotient_orientation_transport_rows_supplied
multiplicative_weyl_transport_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/multiplicative_weyl_transport.csv,verified,no_TS_Weyl_or_Coxeter_transition_rows_supplied
row338_orientation_limit_claim,row338_claim,0,0,0,certificates/orientation/rhomred_orientation_cy3_pairing_nondegeneracy/manifest.json,verified,row338_keeps_orientation_limit_survival_open
limit_survival_rows,limit_survival_rows,0,0,0,limit_survival_rows.csv,verified,no_inverse_limit_survival_rows_supplied
row340_no_new_class_claim,row340_claim,0,0,0,blocked_obligations.csv,verified,row340_kept_open
