firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_reduced_orientation_empty_ledger,reduced_orientation_empty_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,empty_orientation_ledger_does_not_supply_surviving_classes
fw_square_root_obstruction,square_root_obstruction_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,missing_square_root_rows_are_not_surviving_orientation_classes
fw_transition_orientation_obstruction,transition_orientation_obstruction_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,transition_obstruction_ledger_has_no_Picard_transition_or_ML_rows
fw_row338_nondegeneracy,row338_CY3_pairing_nondegeneracy,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,finite_pairing_nondegeneracy_is_not_orientation_class_survival
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,scalar_trace_does_not_define_Picard_groupoid_orientation_class
fw_squared_determinant,squared_determinant,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,squared_determinant_forgets_square_root_and_transition_choice
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,OP_scalar_branch_is_not_orientation_Picard_data
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,Maass_character_value_is_not_a_Picard_transition_system
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,Pfaffian_product_is_a_scalar_shadow_not_finite_orientation_tower
fw_target_root_window,target_root_window,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,target_root_window_has_no_orientation_ML_exactness
fw_no_new_class_claim,row340_no_new_class_claim,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-class-inverse-limit-survival,verified,row340_is_not_part_of_survival_of_prescribed_classes
