coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,one_Serre_sign_criterion_recorded
ptvv_rows,ptvv_finite_substack_symplectic,3,3,0,certificates/orientation/ptvv_finite_substack_symplectic/ptvv_rows.csv,verified,three_ambient_shifted_symplectic_rows_imported_only_as_input
ptvv_orientation_input_rows,ptvv_finite_substack_symplectic,3,3,0,certificates/orientation/ptvv_finite_substack_symplectic/orientation_input_rows.csv,verified,three_orientation_input_rows_do_not_supply_reduced_sign_rows
negative_root_compatibility_rows,row333_negative_root_compatibility,0,0,0,certificates/orientation/rhomred_negative_root_orientation_compatibility/negative_root_compatibility_rows.csv,verified,row333_has_no_source_sign_rows
chevalley_antiinvolution_rows,row334_chevalley_antiinvolution,0,0,0,certificates/orientation/rhomred_orientation_chevalley_antiinvolution/chevalley_antiinvolution_rows.csv,verified,row334_has_no_source_sign_rows
frobenius_pairing_rows,row335_frobenius_pairing,0,0,0,certificates/orientation/rhomred_orientation_frobenius_pairing/frobenius_pairing_rows.csv,verified,row335_has_no_source_sign_rows
trace_degree_rows,row336_trace_degree,0,0,0,certificates/orientation/rhomred_orientation_frobenius_trace_degree/trace_degree_rows.csv,verified,row336_has_no_source_sign_rows
source_pairing_rows,compact_Hall_G_entries,0,0,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,no_source_pairing_rows_supplied
source_hopf_pairing_identity_rows,compact_Hall_hopf_pairing_identities,0,0,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,no_source_pairing_identity_or_sign_rows_supplied
source_parity_rows,compact_Hall_parity_blocks,0,0,0,certificates/sources/k3e_compact_hall/parity_blocks.csv,verified,no_source_parity_rows_supplied
source_radical_rows,compact_Hall_K_entries,0,0,0,certificates/sources/k3e_compact_hall/K_entries.csv,verified,no_source_radical_rows_supplied
orientation_transition_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,verified,no_orientation_transition_rows_supplied
serre_sign_rows,serre_sign_rows,0,0,0,serre_sign_rows.csv,verified,no_source_CY3_Serre_sign_rows_supplied
row338_nondegeneracy_claim,row338_claim,0,0,0,blocked_obligations.csv,verified,row338_kept_open
