obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,direct_sum_status,proof_reference,check_status,notes
reduced_cone_direct_sum_decomposition,orientation,reduced_cone_direct_sum_decomposition,direct_sum_rows.csv,block_decomposition,Kred_C_plus_D_blocks_with_cross_terms,row_299_requires_reduced_cone_compatibility_not_only_unreduced_Ext,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-direct-sum-multiplicativity,verified,no_direct_sum_reduced_cone_row_supplied
orientation_square_root,orientation,orientation_square_root,orientation_lines.csv,square_root_row,line_id_square_root_id_square_defect_rank_zero,direct_sum_multiplicativity_requires_actual_square_roots,missing_open_obligation,certificates/orientation/rhomred_square_root/blocked_obligations.csv,verified,no_square_root_row_supplied
orientation_class_zero,orientation,orientation_class_zero,orientation_lines.csv,orientation_class_row,orientation_class_rank_zero,Joyce_Upmeier_orientation_requires_zero_orientation_class,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_orientation_class_row_supplied
hyperbolic_cross_trivialization,multiplicativity,hyperbolic_cross_square_root,direct_sum_rows.csv,cross_trivialization,det_cross_pair_equals_q_tensor_square,off_diagonal_Ext_factors_do_not_disappear_from_determinant_line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-direct-sum-multiplicativity,verified,no_cross_term_square_root_supplied
direct_sum_ts_isomorphism,multiplicativity,direct_sum_Thom_Sebastiani_isomorphism,ts_multiplicativity.csv,ts_isomorphism,o_C_plus_D_to_o_C_tensor_o_D_tensor_q,row_299_requires_the_Picard_groupoid_product_isomorphism,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_TS_isomorphism_row_supplied
symmetric_functoriality,multiplicativity,symmetric_direct_sum_functoriality,ts_multiplicativity.csv,symmetry_defect,symmetry_defect_rank_zero,direct_sum_order_swap_must_preserve_the_orientation_isomorphism,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-direct-sum-multiplicativity,verified,no_symmetry_row_supplied
ts_pentagon,multiplicativity,flag_pentagon_row,ts_multiplicativity.csv,pentagon_defect,pentagon_defect_rank_zero,two_step_flag_associativity_requires_zero_pentagon_defect,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_pentagon_row_supplied
extension_multiplicativity,multiplicativity,extension_orientation_multiplicativity,ts_multiplicativity.csv,extension_ts_isomorphism,extension_stack_id_left_line_id_right_line_id_target_line_id,row_300_and_row_301_are_needed_for_Hall_products,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1430,verified,extension_multiplicativity_not_supplied_by_direct_sum_criterion
quotient_orientation,orientation,quotient_orientation,quotient_borel.csv,quotient_row,quotient_orientation_descends,O1_requires_descent_of_the_multiplicative_orientation,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,quotient_orientation_not_supplied
transition_compatibility,transition,orientation_transition_compatibility,transitions.csv,strict_orientation_transition,strict_status_strict_verified,pro_object_coherence_requires_transport_of_direct_sum_multiplicativity,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,transition_rows_not_supplied
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,Thom_Sebastiani_transport_acts_on_coefficient_systems,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,vanishing_cycle_complex_not_supplied
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,orientation_multiplicativity_alone_does_not_define_the_Pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
