coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,direct_sum_criterion_rows,1,1,0,certificates/orientation/rhomred_orientation_direct_sum_multiplicativity/criterion_rows.csv,verified,one_direct_sum_criterion_recorded
determinant_packet_count,imported_determinant_packets,1,1,0,certificates/orientation/rhomred_determinant/manifest.json,verified,determinant_packet_imported
determinant_line_count,determinant_rows,3,3,0,certificates/orientation/rhomred_determinant/determinant_rows.csv,verified,three_determinant_lines_imported
square_root_obstruction_packet_count,imported_square_root_packets,1,1,0,certificates/orientation/rhomred_square_root/manifest.json,verified,square_root_obstruction_packet_imported
orientation_line_rows_supplied,orientation_lines_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/orientation_lines.csv,verified,no_square_root_rows_supplied
ts_multiplicativity_rows_supplied,ts_multiplicativity_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/ts_multiplicativity.csv,verified,no_TS_rows_supplied
direct_sum_ts_row_count,direct_sum_TS_isomorphism_rows,0,0,0,certificates/orientation/rhomred_orientation_direct_sum_multiplicativity/direct_sum_obstruction_rows.csv,verified,no_direct_sum_TS_row_supplied
cross_trivialization_count,hyperbolic_cross_square_root_rows,0,0,0,certificates/orientation/rhomred_orientation_direct_sum_multiplicativity/blocked_obligations.csv,verified,no_cross_term_trivialization_supplied
direct_sum_multiplicativity_claim,orientation_multiplicativity_claim_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1429,verified,row_299_not_claimed_proved
protected_integration_claim,protected_integration_claim_count,0,0,0,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
