obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,e_quotient_status,proof_reference,check_status,notes
orientation_square_root,orientation,orientation_square_root,orientation_lines.csv,square_root_row,line_id_square_root_id_square_defect_rank_zero,no_orientation_line_can_descend_before_the_square_root_exists,missing_open_obligation,certificates/orientation/rhomred_square_root/blocked_obligations.csv,verified,no_square_root_row_supplied
alpha_red_nullhomotopy,quotient_borel,reduced_gerbe_null_trivialization,quotient_borel.csv,reduced_gerbe,alpha_red_zero_with_null_trivialization_id,ordinary_reduced_gerbe_must_be_trivialized_before_quotient_descent,missing_open_obligation,certificates/orientation/rhomred_alpha_red_nullhomotopy/blocked_obligations.csv,verified,no_alpha_red_nullhomotopy_row_supplied
free_e_nulltrivialization,quotient_borel,free_E_Borel_null_trivialization,quotient_borel.csv,free_E,alpha_E_free_zero_with_null_trivialization_id,connected_free_E_action_contributes_H2_BE_obstruction,missing_open_obligation,certificates/orientation/rhomred_free_e_nulltrivialization/blocked_obligations.csv,verified,no_free_E_nulltrivialization_row_supplied
finite_beta_nulltrivialization,finite_stabilizer,finite_stabilizer_Borel_null_trivialization,finite_stabilizers.csv,beta_nulltrivialization,beta_H_zero_with_compatible_primitives,finite_stabilizer_gerbes_must_be_trivialized_on_retained_inertia,missing_open_obligation,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/blocked_obligations.csv,verified,no_beta_nulltrivialization_row_supplied
finite_linearization_zero,finite_stabilizer,zero_finite_stabilizer_linearization,finite_stabilizers.csv,linearization,lambda_H_zero_for_every_retained_stabilizer,nonzero_stabilizer_character_breaks_orientation_descent,missing_open_obligation,certificates/orientation/rhomred_finite_stabilizer_linearization_vanishing/blocked_obligations.csv,verified,no_lambda_zero_row_supplied
subgroup_compatibility,finite_stabilizer,subgroup_restriction_compatibility,finite_stabilizers.csv,subgroup_compatibility,res_h_minus_h_prime_equals_delta_q_on_retained_subgroups,finite_stabilizer_primitives_must_be_compatible_on_inertia_overlaps,missing_open_obligation,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/blocked_obligations.csv,verified,no_subgroup_compatibility_row_supplied
overlap_compatibility,quotient_borel,quotient_presentation_overlap_compatibility,quotient_borel.csv,overlap_cocycle,overlap_defect_rank_zero,descent_is_a_Picard_groupoid_cocycle_condition_not_pointwise_vanishing,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,no_overlap_compatibility_row_supplied
extension_flag_compatibility,quotient_borel,extension_and_flag_chart_compatibility,quotient_borel.csv,extension_flag_transport,transport_defect_rank_zero,strong_orientation_descent_must_hold_on_Hall_correspondence_and_flag_charts,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,no_extension_or_flag_compatibility_row_supplied
quotient_orientation_row,orientation,descended_quotient_orientation,quotient_borel.csv,quotient_orientation,o_C_mod_E_with_quotient_cocycle_trivialized,row_302_requires_the_actual_descended_orientation_object,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_quotient_orientation_row_supplied
transition_compatibility,transition,quotient_orientation_transition_compatibility,transitions.csv,strict_orientation_transition,strict_status_strict_verified,pro_object_coherence_requires_transition_of_quotient_orientation,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,transition_rows_not_supplied
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,quotient_orientation_descent_is_not_the_vanishing_cycle_coefficient_system,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,vanishing_cycle_complex_not_supplied
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,quotient_orientation_descent_alone_does_not_define_the_Pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
