coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,e_quotient_descent_criterion_rows,1,1,0,certificates/orientation/rhomred_orientation_e_quotient_descent/criterion_rows.csv,verified,one_E_quotient_descent_criterion_recorded
orientation_line_rows_supplied,orientation_lines_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/orientation_lines.csv,verified,no_orientation_line_rows_supplied
quotient_borel_rows_supplied,quotient_borel_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/quotient_borel.csv,verified,no_quotient_borel_rows_supplied
finite_stabilizer_rows_supplied,finite_stabilizer_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/finite_stabilizers.csv,verified,no_finite_stabilizer_rows_supplied
alpha_red_nullhomotopy_claim,alpha_red_nullhomotopy_supplied_count,0,0,0,certificates/orientation/rhomred_alpha_red_nullhomotopy/manifest.json,verified,no_alpha_red_nullhomotopy_supplied
free_e_nulltrivialization_claim,free_E_nulltrivialization_supplied_count,0,0,0,certificates/orientation/rhomred_free_e_nulltrivialization/manifest.json,verified,no_free_E_nulltrivialization_supplied
finite_beta_nulltrivialization_claim,finite_beta_nulltrivialization_supplied_count,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/manifest.json,verified,no_finite_beta_nulltrivialization_supplied
linearization_zero_claim,lambda_zero_rows_supplied_count,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_vanishing/manifest.json,verified,no_lambda_zero_rows_supplied
quotient_orientation_claim,quotient_orientation_claim_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1432,verified,row_302_not_claimed_proved
protected_integration_claim,protected_integration_claim_count,0,0,0,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
