firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_zero_class_only,zero_class_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,zero_classes_without_chosen_compatible_primitives_do_not_descend_orientation
fw_alpha_red_formula,alpha_red_formula_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,formula_for_reduced_gerbe_is_not_null_trivialization
fw_free_e_vanishing,free_E_vanishing_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,free_E_zero_coefficients_without_cochain_do_not_supply_descent
fw_beta_vanishing,beta_vanishing_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,beta_zero_without_compatible_primitives_is_not_finite_stabilizer_descent
fw_linearization_missing,missing_linearization_character,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,degree_two_gerbe_trivialization_does_not_kill_H1_character
fw_cyclic_restrictions_only,cyclic_restrictions_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,cyclic_restrictions_do_not_detect_rank_two_mixed_finite_stabilizer_terms
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,scalar_trace_does_not_construct_quotient_orientation
fw_maass_character_value,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,Maass_character_values_do_not_construct_Picard_groupoid_descent
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,OP_scalar_branch_is_not_quotient_orientation
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-e-quotient-descent,verified,integration_requires_orientation_data_not_conversely
