firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_retained_extension_closure_only,retained_extension_closure_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,closure_of_middle_terms_does_not_construct_orientation_transport
fw_direct_sum_orientation,direct_sum_orientation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,direct_sum_criterion_is_not_extension_stack_multiplicativity
fw_determinant_line_only,determinant_line_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,determinant_line_formula_does_not_choose_square_roots
fw_conditional_mixed_ts,conditional_mixed_thom_sebastiani,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,conditional_TS_uses_orientation_transport_as_hypothesis
fw_vanishing_cycle_ts_without_orientation,vanishing_cycle_TS_without_orientation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,BBDJS_TS_does_not_construct_Joyce_Upmeier_orientation_line
fw_hall_product_formula,hall_product_formula,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,pull_push_formula_presupposes_oriented_coefficient_transport
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,scalar_trace_does_not_construct_orientation_line
fw_maass_character_value,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,Maass_character_values_do_not_construct_Picard_groupoid_data
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,OP_scalar_branch_is_not_extension_orientation_transport
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,integration_requires_orientation_data_not_conversely
