coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,one_Frobenius_pairing_criterion_recorded
source_product_rows,compact_Hall_M_entries,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_source_product_rows_supplied
source_coproduct_rows,compact_Hall_D_entries,0,0,0,certificates/sources/k3e_compact_hall/D_entries.csv,verified,no_source_coproduct_rows_supplied
source_bracket_rows,compact_Hall_B_entries,0,0,0,certificates/sources/k3e_compact_hall/B_entries.csv,verified,no_source_bracket_rows_supplied
source_bialgebra_identity_rows,compact_Hall_hall_bialgebra_identities,0,0,0,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,verified,no_source_bialgebra_identity_rows_supplied
source_pairing_rows,compact_Hall_G_entries,0,0,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,no_compact_source_pairing_rows_supplied
source_hopf_pairing_identity_rows,compact_Hall_hopf_pairing_identities,0,0,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,no_Hopf_adjointness_Frobenius_or_nondegeneracy_rows_supplied
source_radical_rows,compact_Hall_K_entries,0,0,0,certificates/sources/k3e_compact_hall/K_entries.csv,verified,no_source_radical_rows_supplied
source_quotient_splitting_rows,compact_Hall_Q_entries,0,0,0,certificates/sources/k3e_compact_hall/Q_entries.csv,verified,no_source_quotient_splitting_rows_supplied
radical_ideal_coideal_rows,compact_Hall_radical_ideal_coideal,0,0,0,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,verified,no_radical_ideal_or_coideal_rows_supplied
chevalley_antiinvolution_rows,row334_antiinvolution_rows,0,0,0,certificates/orientation/rhomred_orientation_chevalley_antiinvolution/chevalley_antiinvolution_rows.csv,verified,no_source_Chevalley_antiinvolution_rows_supplied
transition_radical_pairing_rows,transition_radical_preservation,0,0,0,certificates/hall/transition_radical_preservation/pairing_transition.csv,verified,no_pairing_transition_rows_supplied
pairing_kernel_ml_rows,pairing_kernel_lim1,0,0,0,certificates/hall/pairing_kernel_lim1_vanishing/pairing_kernel_ml_r1lim_defects.csv,verified,no_pairing_kernel_ML_or_R1lim_rows_supplied
orientation_transition_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,verified,no_orientation_transition_rows_supplied
frobenius_pairing_rows,frobenius_rows,0,0,0,frobenius_pairing_rows.csv,verified,no_Frobenius_pairing_rows_supplied
row336_trace_degree_claim,row336_claim,0,0,0,blocked_obligations.csv,verified,row336_kept_open
row337_serre_sign_claim,row337_claim,0,0,0,blocked_obligations.csv,verified,row337_kept_open

