firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_formal_pairing_pushforward,formal_pairing_pushforward,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,formal_degree_compatibility_is_not_Hopf_adjointness_or_Frobenius_cyclicity
fw_target_negative_blocks,target_negative_dual_formal_block,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,target_formal_blocks_are_not_source_Frobenius_pairings
fw_row334_chevalley_criterion,row334_Chevalley_criterion,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,Chevalley_criterion_without_source_map_is_not_Frobenius_cyclicity
fw_compact_hall_empty_ledger,compact_Hall_empty_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,empty_source_ledger_is_not_a_Frobenius_pairing
fw_empty_M_entries,empty_M_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,empty_product_table_is_not_Hall_product_data
fw_empty_D_entries,empty_D_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,empty_coproduct_table_is_not_Hall_coproduct_data
fw_empty_B_entries,empty_B_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,empty_bracket_table_is_not_primitive_cyclicity_data
fw_empty_G_entries,empty_G_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,empty_pairing_table_is_not_source_Hopf_pairing
fw_empty_hopf_pairing_identities,empty_hopf_pairing_identities,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,empty_identity_table_has_no_Hopf_adjointness_or_Frobenius_cyclicity
fw_empty_K_entries,empty_K_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,empty_radical_table_is_not_quotient_nondegeneracy
fw_determinant_line,determinant_line_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,determinant_line_without_cyclic_orientation_square_is_not_Frobenius
fw_square_root_ledger,square_root_obstruction_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,obstruction_ledger_is_not_orientation_pairing_cyclicity
fw_transition_radical_obstruction,transition_radical_obstruction_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,radical_transition_obstruction_ledger_is_not_radical_transition_proof
fw_pairing_kernel_lim1_obstruction,pairing_kernel_lim1_obstruction_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,pairing_kernel_lim1_obstruction_ledger_is_not_ML_vanishing
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,trace_scalar_forgets_source_Hall_pairing_and_orientation_cyclicity
fw_protected_trace,protected_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,protected_trace_requires_later_integration_data
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,pfaffian_product_is_not_source_Frobenius_pairing
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,Borcherds_denominator_product_is_not_source_Hopf_pairing_cyclicity

