firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_row335_frobenius_criterion,row335_Frobenius_criterion,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,Frobenius_pairing_criterion_without_trace_functional_does_not_compute_trace_degree
fw_formal_pairing_degree_zero,formal_pairing_degree_zero,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,degree_zero_pairing_pushforward_is_not_trace_degree_minus_3
fw_protected_integration_gram_degree,protected_integration_gram_s_degree,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,target_monomial_s_degree_m_R_is_not_source_cohomological_trace_degree
fw_protected_trace_empty_ledger,protected_trace_empty_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,empty_level_Z_trace_scaffold_is_not_source_trace_functional
fw_borcherds_s_degree,Borcherds_s_degree,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,Borcherds_s_degree_is_a_scalar_trace_coordinate_not_the_Frobenius_trace_shift
fw_compact_hall_empty_ledger,compact_Hall_empty_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,empty_source_ledger_is_not_trace_degree_data
fw_empty_M_entries,empty_M_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,empty_product_table_cannot_define_trace_of_product
fw_empty_G_entries,empty_G_entries,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,empty_pairing_table_cannot_compare_pairing_with_trace
fw_empty_hopf_pairing_identities,empty_hopf_pairing_identities,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,empty_identity_table_has_no_trace_pairing_or_cyclicity_row
fw_empty_trace_degree_rows,empty_trace_degree_rows,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,empty_trace_degree_table_has_no_minus_3_computation
fw_determinant_line,determinant_line_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,determinant_line_without_trace_line_shift_is_not_trace_degree
fw_square_root_ledger,square_root_obstruction_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,orientation_obstruction_ledger_does_not_compute_trace_degree
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,scalar_trace_forgets_source_Hall_pairing_and_orientation_trace_line
fw_protected_trace,protected_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,protected_trace_is_level_Z_scalar_shadow_not_source_Frobenius_trace_degree
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,pfaffian_product_is_not_source_trace_degree

