coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,hall_coproduct_descent_criterion_rows,1,1,0,certificates/orientation/rhomred_orientation_hall_coproduct_descent/criterion_rows.csv,verified,one_row_304_criterion_recorded
theta_coproduct_rows_available,theta_coproduct_row_count,1,1,0,certificates/hybrid/quotient_after_correspondence_theta_mu_coproduct/coproduct_rows.csv,verified,theta_delta_available_for_supplied_coproduct_rows
theta_delta_rows_available,theta_delta_row_count,1,1,0,certificates/hybrid/quotient_after_correspondence_theta_mu_coproduct/coproduct_comparison_rows.csv,verified,coproduct_comparison_row_available_conditionally
bialgebra_square_rows_available,bialgebra_square_row_count,1,1,0,certificates/hybrid/quotient_after_correspondence_theta_mu_coproduct/bialgebra_square_rows.csv,verified,bialgebra_square_available_for_supplied_bialgebra_rows
quotient_orientation_rows_supplied,quotient_orientation_row_count,0,0,0,certificates/orientation/rhomred_orientation_e_quotient_descent/manifest.json,verified,no_quotient_orientation_rows_supplied
inverse_orientation_ts_rows_supplied,inverse_orientation_TS_row_count,0,0,0,certificates/orientation/rhomred_orientation_thom_sebastiani_compatibility/manifest.json,verified,no_oriented_TS_row_supplied
source_hall_coproduct_matrix_rows_supplied,D_entries_row_count,0,0,0,certificates/sources/k3e_compact_hall/D_entries.csv,verified,no_compact_source_coproduct_entries_supplied
source_counit_rows_supplied,counit_row_count,0,0,0,certificates/sources/k3e_compact_hall/unit_counit.csv,verified,no_compact_source_counit_entries_supplied
hall_coproduct_descent_claim,hall_coproduct_descent_claim_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1434,verified,row_304_not_claimed_proved
protected_integration_claim,protected_integration_claim_count,0,0,0,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,coproduct_descent_is_not_protected_integration
