firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_theta_delta_only,theta_delta_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,theta_delta_is_a_comparison_for_supplied_coproduct_rows_not_orientation_descent
fw_theta_mu_coproduct_only,theta_mu_coproduct_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,theta_mu_coproduct_does_not_construct_D_entries_or_orientation_rows
fw_quotient_TS_only,quotient_Thom_Sebastiani_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,quotient_TS_does_not_construct_the_inverse_Joyce_Upmeier_orientation_row
fw_product_descent_only,hall_product_descent_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,Hall_product_descent_does_not_imply_Hall_coproduct_descent
fw_empty_coproduct_matrix,empty_coproduct_matrix,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,a_header_only_D_entries_table_is_not_a_Hall_coproduct
fw_empty_counit,empty_counit,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,a_header_only_unit_counit_table_is_not_a_counital_coalgebra
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,scalar_trace_does_not_construct_coproduct_descent
fw_bar_coalgebra,bar_coalgebra_deconcatenation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,formal_bar_deconcatenation_is_not_the_compact_Hall_splitting_correspondence
fw_pfaffian_coproduct,pfaffian_coproduct,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,Pfaffian_operation_is_not_orientation_descent_for_p_bang_TS_inverse_q_star
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,protected_integration_is_a_later_scalar_shadow_not_coproduct_descent
