coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,hall_product_descent_criterion_rows,1,1,0,certificates/orientation/rhomred_orientation_hall_product_descent/criterion_rows.csv,verified,one_row_303_criterion_recorded
theta_mu_rows_available,theta_mu_row_count,1,1,0,certificates/hybrid/quotient_after_correspondence_theta_mu_comparison/theta_mu_rows.csv,verified,theta_mu_available_for_supplied_operation_rows
quotient_ts_rows_available,quotient_TS_row_count,1,1,0,certificates/hybrid/quotient_after_correspondence_thom_sebastiani/thom_sebastiani_rows.csv,verified,TS_descent_available_for_supplied_TS_rows
pushforward_descent_rows_available,pushforward_descent_row_count,1,1,0,certificates/hybrid/quotient_after_correspondence_theta_mu_comparison/pushforward_descent_rows.csv,verified,compact_support_pushforward_descent_available_as_theta_mu_input
quotient_orientation_rows_supplied,quotient_orientation_row_count,0,0,0,certificates/orientation/rhomred_orientation_e_quotient_descent/manifest.json,verified,no_quotient_orientation_rows_supplied
orientation_ts_rows_supplied,orientation_TS_row_count,0,0,0,certificates/orientation/rhomred_orientation_thom_sebastiani_compatibility/manifest.json,verified,no_oriented_TS_row_supplied
extension_cocycle_comparison_rows_supplied,extension_cocycle_comparison_count,0,0,0,certificates/orientation/rhomred_orientation_e_quotient_descent/blocked_obligations.csv,verified,no_extension_flag_compatibility_row_supplied
source_hall_product_matrix_rows_supplied,M_entries_row_count,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_compact_source_product_entries_supplied
hall_product_descent_claim,hall_product_descent_claim_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1433,verified,row_303_not_claimed_proved
protected_integration_claim,protected_integration_claim_count,0,0,0,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,product_descent_is_not_protected_integration
