firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_theta_mu_only,theta_mu_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,theta_mu_is_a_comparison_for_supplied_operation_rows_not_orientation_descent
fw_quotient_TS_only,quotient_Thom_Sebastiani_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,quotient_TS_does_not_construct_the_Joyce_Upmeier_orientation_row
fw_zero_class_only,zero_class_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,zero_obstruction_classes_without_product_cocycle_comparison_do_not_commute_with_Hall_product
fw_empty_product_matrix,empty_product_matrix,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,a_header_only_M_entries_table_is_not_a_Hall_product
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,scalar_trace_does_not_construct_product_descent
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,Borcherds_denominator_product_is_not_the_compact_Hall_pull_push_product
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,Pfaffian_product_is_not_orientation_descent_for_q_bang_TS_p_star
fw_orientation_line_only,orientation_line_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,an_orientation_line_without_TS_and_quotient_cocycle_rows_does_not_define_product_descent
fw_vanishing_cycle_transport_only,vanishing_cycle_transport_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,vanishing_cycle_transport_without_orientation_TS_is_not_the_oriented_coefficient_system
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-product,verified,protected_integration_is_a_later_scalar_shadow_not_product_descent
