coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,one_no_new_limit_class_criterion_recorded
row339_limit_survival_rows,row339_limit_survival,0,0,0,certificates/orientation/rhomred_orientation_class_limit_survival/limit_survival_rows.csv,verified,row339_has_no_limit_survival_rows
reduced_orientation_line_rows,k3e_reduced_orientation,0,0,0,certificates/orientation/k3e_reduced_orientation/orientation_lines.csv,verified,no_finite_orientation_line_rows_supplied
reduced_orientation_transition_rows,k3e_reduced_orientation,0,0,0,certificates/orientation/k3e_reduced_orientation/transitions.csv,verified,no_reduced_orientation_transition_rows_supplied
square_root_obstruction_rows,rhomred_square_root,3,3,0,certificates/orientation/rhomred_square_root/square_root_obstruction_rows.csv,verified,three_missing_square_root_rows_imported_as_obstructions
orientation_transition_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,verified,no_Picard_transition_rows_supplied
transition_defect_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/transition_defects.csv,verified,no_strict_composition_or_ML_rows_supplied
null_trivialization_transport_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/null_trivialization_transport.csv,verified,no_quotient_orientation_transport_rows_supplied
multiplicative_weyl_transport_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/multiplicative_weyl_transport.csv,verified,no_TS_Weyl_or_Coxeter_transition_rows_supplied
no_new_class_rows,no_new_class_rows,0,0,0,no_new_class_rows.csv,verified,no_pro_Picard_comparison_or_no_phantom_rows_supplied
phantom_kernel_rank_rows,no_new_class_rows,0,0,0,no_new_class_rows.csv,verified,no_phantom_kernel_rank_rows_supplied
pi0_comparison_rows,no_new_class_rows,0,0,0,no_new_class_rows.csv,verified,no_zero_defect_pi0_comparison_rows_supplied
