firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_row339_survival,row339_survival_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,survival_of_prescribed_classes_does_not_exclude_phantom_limit_classes
fw_reduced_orientation_empty_ledger,reduced_orientation_empty_ledger,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,empty_orientation_ledger_has_no_pro_Picard_comparison
fw_square_root_obstruction,square_root_obstruction_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,missing_square_root_rows_do_not_prove_no_phantom_classes
fw_transition_orientation_obstruction,transition_orientation_obstruction_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,transition_obstruction_ledger_has_no_comparison_or_effectivity_rows
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,scalar_trace_does_not_detect_pro_Picard_phantom_classes
fw_squared_determinant,squared_determinant,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,squared_determinant_forgets_orientation_class_and_automorphisms
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,OP_scalar_branch_is_not_a_pro_Picard_comparison
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,Maass_character_value_is_not_no_phantom_orientation_descent
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,Pfaffian_product_is_a_scalar_shadow_not_pro_Picard_separatedness
fw_target_root_window,target_root_window,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,target_root_window_has_no_orientation_effectivity_or_ML_rows
fw_empty_no_new_rows,empty_no_new_class_rows,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-no-new-limit-class,verified,empty_no_new_class_table_has_no_phantom_kernel_or_pi0_comparison
