firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_bbdjs_ts_only,BBDJS_Thom_Sebastiani_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,vanishing_cycle_TS_does_not_construct_orientation_square_root_compatibility
fw_conditional_mixed_ts,conditional_mixed_thom_sebastiani,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,conditional_TS_uses_orientation_transport_as_hypothesis
fw_four_input_pentagon_only,four_input_pentagon_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,pentagon_packet_treats_orientation_pentagon_as_input
fw_extension_multiplicativity_only,extension_multiplicativity_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,row_300_does_not_supply_the_square_compatibility_row
fw_determinant_line_only,determinant_line_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,determinant_line_formula_does_not_choose_square_roots
fw_hall_product_formula,hall_product_formula,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,pull_push_formula_presupposes_oriented_coefficient_transport
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,scalar_trace_does_not_construct_orientation_line
fw_maass_character_value,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,Maass_character_values_do_not_construct_Picard_groupoid_data
fw_op_scalar_branch,op_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,OP_scalar_branch_is_not_TS_orientation_compatibility
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-thom-sebastiani-compatibility,verified,integration_requires_orientation_data_not_conversely
