coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
determinant_line_count,determinant_rows,3,3,0,certificates/orientation/rhomred_determinant/determinant_rows.csv,verified,three_determinant_lines_imported
w2_formula_count,w2_formula_rows,2,2,0,chapters/05_subsections/05_2_orientation.tex:prop:rhomred-w2-formula,verified,two_formula_rows_recorded
w2_obstruction_count,w2_obstruction_rows,3,3,0,chapters/05_subsections/05_2_orientation.tex:prop:rhomred-w2-formula,verified,three_missing_w2_value_rows_recorded
c1_row_count,c1_value_rows,0,0,0,certificates/orientation/rhomred_w2/w2_obstruction_rows.csv,verified,no_c1_rows_supplied
grr_row_count,grr_expansion_rows,0,0,0,certificates/orientation/rhomred_w2/w2_obstruction_rows.csv,verified,no_grr_expansion_rows_supplied
mod2_reduction_row_count,mod2_reduction_rows,0,0,0,certificates/orientation/rhomred_w2/w2_obstruction_rows.csv,verified,no_mod2_reduction_rows_supplied
w2_value_count,w2_value_rows,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1335,verified,no_w2_values_computed
w2_vanishing_claim,w2_vanishing_claim_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1335,verified,no_w2_zero_claim
square_root_claim,orientation_square_root_claim_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1334,verified,no_square_root_construction_claim
protected_integration_claim,protected_integration_claim_count,0,0,0,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,no_protected_integration_claim
