coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion,1,1,0,criterion_rows.csv,verified,one_row_316_preservation_criterion_recorded
row282_free_e_rows,import_count,3,3,0,certificates/orientation/rhomred_free_e_borel/free_e_obstruction_rows.csv,verified,three_retained_free_E_obstruction_rows_imported
row282_free_e_values_computed_claim,import_claim,0,0,0,certificates/orientation/rhomred_free_e_borel/manifest.json,verified,row_282_does_not_claim_values_computed
row282_free_e_vanishing_claim,import_claim,0,0,0,certificates/orientation/rhomred_free_e_borel/manifest.json,verified,row_282_does_not_claim_vanishing
row283_free_e_vanishing_rows,import_count,3,3,0,certificates/orientation/rhomred_free_e_vanishing/free_e_vanishing_obstruction_rows.csv,verified,three_free_E_vanishing_obstruction_rows_imported
row283_free_e_vanishing_claim,import_claim,0,0,0,certificates/orientation/rhomred_free_e_vanishing/manifest.json,verified,row_283_does_not_claim_vanishing
row284_nulltrivialization_rows,import_count,3,3,0,certificates/orientation/rhomred_free_e_nulltrivialization/nulltrivialization_obstruction_rows.csv,verified,three_free_E_nulltrivialization_obstruction_rows_imported
row284_nulltrivialization_claim,import_claim,0,0,0,certificates/orientation/rhomred_free_e_nulltrivialization/manifest.json,verified,row_284_does_not_claim_nulltrivializations
row306_tau_transport_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_wall_transport_tau/manifest.json,verified,row_306_does_not_claim_tau_constructed
row315_alpha_red_preservation_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_alpha_red_preservation/manifest.json,verified,row_315_does_not_claim_alpha_red_preservation
preservation_rows,local_count,0,0,0,preservation_rows.csv,verified,no_row_316_preservation_rows_supplied
alpha_e_free_preservation_claim,local_claim,0,0,0,manifest.json,verified,row_316_manifest_does_not_claim_alpha_E_free_preservation
