firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_H1_BE_zero,H1_BE_zero,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,H1_BE_zero_removes_degree_one_torsor_not_H2_coordinate_transport
fw_free_E_action,free_E_action_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,free_action_does_not_compute_alpha_E_free_coefficients
fw_quotient_stack,quotient_stack_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,quotient_stack_existence_is_not_Borel_edge_transport
fw_missing_coefficients,missing_coefficients,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,absence_of_a1_a2_rows_is_not_zero_coordinate_defect
fw_row284_nulltrivialization,row284_nulltrivialization_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,nulltrivialization_without_Weyl_transport_matrix_is_not_preservation
fw_row306_tau_criterion,row306_tau_criterion,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,a_transport_criterion_without_H2_BE_matrix_rows_does_not_preserve_alpha_E_free
fw_row315_alpha_red,row315_alpha_red_preservation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,preservation_of_alpha_red_is_a_different_component
fw_target_coxeter_graph,target_coxeter_graph,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,target_Coxeter_relations_do_not_compute_connected_BE_coordinates
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,Maass_character_is_not_an_H2_BE_coordinate_vector
fw_pfaffian_wall_sign,pfaffian_wall_sign,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,local_Pfaffian_sign_is_not_a_zero_coordinate_certificate
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,scalar_trace_forgets_the_connected_BE_edge_class
fw_finite_stabilizer_bits,finite_stabilizer_bits,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,finite_stabilizer_Borel_bits_are_not_the_connected_free_E_component
fw_empty_preservation_table,empty_preservation_table,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,absence_of_preservation_rows_is_not_preservation
fw_row317_finite_beta,row317_finite_beta_preservation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,the_next_finite_stabilizer_component_row_is_not_row_316
