coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion,1,1,0,criterion_rows.csv,verified,one_row_315_preservation_criterion_recorded
row280_alpha_red_rows,import_count,3,3,0,certificates/orientation/rhomred_alpha_red/alpha_red_obstruction_rows.csv,verified,three_retained_alpha_red_obstruction_rows_imported
row280_alpha_red_values_computed_claim,import_claim,0,0,0,certificates/orientation/rhomred_alpha_red/manifest.json,verified,row_280_does_not_claim_values_computed
row280_alpha_red_vanishing_claim,import_claim,0,0,0,certificates/orientation/rhomred_alpha_red/manifest.json,verified,row_280_does_not_claim_vanishing
row281_nullhomotopy_rows,import_count,3,3,0,certificates/orientation/rhomred_alpha_red_nullhomotopy/nullhomotopy_obstruction_rows.csv,verified,three_nullhomotopy_obstruction_rows_imported
row281_nullhomotopy_claim,import_claim,0,0,0,certificates/orientation/rhomred_alpha_red_nullhomotopy/manifest.json,verified,row_281_does_not_claim_nullhomotopies
row306_tau_transport_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_wall_transport_tau/manifest.json,verified,row_306_does_not_claim_tau_constructed
row314_torsor_vanishing_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_orientation_torsor_defect_vanishing/manifest.json,verified,row_314_does_not_claim_torsor_vanishing
preservation_rows,local_count,0,0,0,preservation_rows.csv,verified,no_row_315_preservation_rows_supplied
alpha_red_preservation_claim,local_claim,0,0,0,manifest.json,verified,row_315_manifest_does_not_claim_alpha_red_preservation
