firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_alpha_red_formula,alpha_red_formula_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,formula_for_alpha_red_is_not_Weyl_transport_of_its_cocycle
fw_alpha_red_zero_claim,alpha_red_zero_claim_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,zero_class_without_transport_does_not_prove_Weyl_preservation
fw_alpha_red_nullhomotopy,alpha_red_nullhomotopy_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,nullhomotopy_without_tau_transport_is_not_preservation
fw_row306_tau_criterion,row306_tau_criterion,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,a_transport_criterion_without_cochain_map_rows_does_not_preserve_alpha_red
fw_row314_torsor_vanishing,row314_torsor_vanishing_claim,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,torsor_vanishing_is_not_the_alpha_red_transport_coboundary_certificate
fw_target_coxeter_graph,target_coxeter_graph,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,target_Coxeter_relations_do_not_compute_source_Cech_Borel_transport
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,Maass_character_is_not_a_reduced_gerbe_cochain
fw_pfaffian_wall_sign,pfaffian_wall_sign,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,local_Pfaffian_sign_is_not_a_coboundary_witness_for_alpha_red
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,scalar_trace_forgets_the_Cech_Borel_reduced_gerbe
fw_empty_preservation_table,empty_preservation_table,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,absence_of_preservation_rows_is_not_preservation
fw_row316_alpha_e_free,row316_alpha_E_free_preservation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,the_next_free_E_component_row_is_not_row_315
