coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion,1,1,0,criterion_rows.csv,verified,one_row_317_preservation_criterion_recorded
row285_beta_rows,import_count,3,3,0,certificates/orientation/rhomred_finite_stabilizer_beta/residual_group_beta_rows.csv,verified,three_retained_beta_obstruction_rows_imported
row285_beta_values_computed_claim,import_claim,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta/manifest.json,verified,row_285_does_not_claim_beta_values_computed
row285_beta_vanishing_claim,import_claim,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta/manifest.json,verified,row_285_does_not_claim_beta_vanishing
row286_beta_vanishing_rows,import_count,3,3,0,certificates/orientation/rhomred_finite_stabilizer_beta_vanishing/beta_vanishing_obstruction_rows.csv,verified,three_beta_vanishing_obstruction_rows_imported
row286_beta_vanishing_claim,import_claim,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_vanishing/manifest.json,verified,row_286_does_not_claim_all_beta_vanishing
row287_nulltrivialization_rows,import_count,3,3,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/beta_nulltrivialization_obstruction_rows.csv,verified,three_beta_nulltrivialization_obstruction_rows_imported
row287_nulltrivialization_claim,import_claim,0,0,0,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/manifest.json,verified,row_287_does_not_claim_nulltrivializations
row306_tau_transport_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_wall_transport_tau/manifest.json,verified,row_306_does_not_claim_tau_constructed
row316_alpha_e_free_preservation_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_alpha_e_free_preservation/manifest.json,verified,row_316_does_not_claim_alpha_E_free_preservation
preservation_rows,local_count,0,0,0,preservation_rows.csv,verified,no_row_317_preservation_rows_supplied
beta_preservation_claim,local_claim,0,0,0,manifest.json,verified,row_317_manifest_does_not_claim_beta_preservation
