firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_residual_group_order_one,residual_group_order_one,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,order_one_group_input_does_not_replace_missing_edge_transport_row
fw_H2_B1_template,H2_B1_zero_template,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,H2_B1_zero_applies_only_after_edge_reduction_row_is_supplied
fw_missing_beta_value,missing_beta_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,absence_of_beta_rows_is_not_preservation
fw_cyclic_restrictions,cyclic_restrictions_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,cyclic_restrictions_do_not_detect_rank_two_mixed_terms
fw_row287_nulltrivialization,row287_nulltrivialization_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,nulltrivialization_without_Weyl_stabilizer_transport_is_not_preservation
fw_row306_tau_criterion,row306_tau_criterion,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,a_transport_criterion_without_finite_stabilizer_rows_does_not_preserve_beta_H
fw_row316_alpha_e_free,row316_alpha_E_free_preservation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,preservation_of_alpha_E_free_is_a_different_component
fw_linearization_character,linearization_character,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,lambda_H_is_independent_degree_one_data
fw_target_coxeter_graph,target_coxeter_graph,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,target_Coxeter_relations_do_not_compute_finite_stabilizer_edge_transport
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,Maass_character_is_not_an_H2_BH_coordinate_vector
fw_pfaffian_wall_sign,pfaffian_wall_sign,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,local_Pfaffian_sign_is_not_a_beta_H_zero_defect_certificate
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,scalar_trace_forgets_the_finite_stabilizer_edge_class
fw_empty_preservation_table,empty_preservation_table,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,absence_of_preservation_rows_is_not_preservation
fw_row318_lambda,row318_lambda_zero_preservation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,the_next_linearization_component_row_is_not_row_317
