coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion,1,1,0,criterion_rows.csv,verified,one_row_318_preservation_criterion_recorded
row288_lambda_rows,import_count,3,3,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/linearization_character_obstruction_rows.csv,verified,three_retained_lambda_obstruction_rows_imported
row288_lambda_computed_claim,import_claim,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/manifest.json,verified,row_288_does_not_claim_lambda_coordinates_computed
row288_lambda_vanishing_claim,import_claim,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_character/manifest.json,verified,row_288_does_not_claim_lambda_vanishing
row289_lambda_vanishing_rows,import_count,3,3,0,certificates/orientation/rhomred_finite_stabilizer_linearization_vanishing/linearization_vanishing_obstruction_rows.csv,verified,three_lambda_vanishing_obstruction_rows_imported
row289_lambda_vanishing_claim,import_claim,0,0,0,certificates/orientation/rhomred_finite_stabilizer_linearization_vanishing/manifest.json,verified,row_289_does_not_claim_all_lambda_vanishing
row306_tau_transport_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_wall_transport_tau/manifest.json,verified,row_306_does_not_claim_tau_constructed
row317_beta_preservation_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_finite_stabilizer_beta_preservation/manifest.json,verified,row_317_does_not_claim_beta_preservation
preservation_rows,local_count,0,0,0,preservation_rows.csv,verified,no_row_318_preservation_rows_supplied
lambda_zero_preservation_claim,local_claim,0,0,0,manifest.json,verified,row_318_manifest_does_not_claim_lambda_zero_preservation
