firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_residual_group_order_one,residual_group_order_one,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,order_one_group_input_does_not_replace_missing_linearization_transport_row
fw_H1_B1_template,H1_B1_zero_template,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,H1_B1_zero_applies_only_after_orientation_line_action_row_is_supplied
fw_missing_lambda_value,missing_lambda_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,absence_of_lambda_values_is_not_preservation
fw_lambda_not_computed,lambda_character_not_computed,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,row_288_does_not_compute_lambda_H
fw_beta_zero,beta_zero_claim,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,beta_H_zero_is_degree_two_data_not_degree_one_linearization
fw_beta_nulltrivialization,beta_nulltrivialization,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,nulltrivialization_of_beta_H_does_not_compute_lambda_H_transport
fw_row317_beta,row317_beta_preservation,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,beta_H_preservation_is_a_different_component_and_is_not_yet_proved
fw_row306_tau_criterion,row306_tau_criterion,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,a_transport_criterion_without_finite_stabilizer_rows_does_not_preserve_lambda_H
fw_determinant_anchor,determinant_anchor_translation_weight,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,translation_weight_is_not_a_stabilizer_action_transport_row
fw_target_coxeter_graph,target_coxeter_graph,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,target_Coxeter_relations_do_not_compute_degree_one_transport
fw_maass_character,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,Maass_character_is_not_an_H1_BH_coordinate_vector
fw_pfaffian_wall_sign,pfaffian_wall_sign,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,local_Pfaffian_sign_is_not_a_lambda_H_zero_defect_row
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,scalar_trace_forgets_the_finite_stabilizer_linearization_character
fw_empty_preservation_table,empty_preservation_table,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,absence_of_preservation_rows_is_not_preservation
fw_row319_orientation,row319_orientation_character,true,0,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-lambda-zero-preservation-criterion,verified,the_next_orientation_character_row_is_not_row_318
