coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
definition_count,definition,1,1,0,definition_rows.csv,verified,one_row_319_definition_criterion_recorded
row312_cochain_transition_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_transition/manifest.json,verified,row_312_does_not_claim_cochain_transition_compatibility
row314_torsor_vanishing_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_orientation_torsor_defect_vanishing/manifest.json,verified,row_314_does_not_claim_torsor_defect_vanishing
row315_alpha_red_preservation_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_alpha_red_preservation/manifest.json,verified,row_315_does_not_claim_alpha_red_preservation
row316_alpha_e_free_preservation_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_alpha_e_free_preservation/manifest.json,verified,row_316_does_not_claim_alpha_E_free_preservation
row317_beta_preservation_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_finite_stabilizer_beta_preservation/manifest.json,verified,row_317_does_not_claim_beta_preservation
row318_lambda_zero_preservation_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_finite_stabilizer_lambda_zero_preservation/manifest.json,verified,row_318_does_not_claim_lambda_zero_preservation
maass_orientation_character_claim,import_claim,0,0,0,certificates/automorphic/delta5_maass_character/manifest.json,verified,maass_packet_marks_orientation_character_false
generator_sign_rows,local_count,0,0,0,generator_sign_rows.csv,verified,no_row_319_generator_sign_rows_supplied
character_rows,local_count,0,0,0,character_rows.csv,verified,no_row_319_character_rows_supplied
orientation_character_constructed_claim,local_claim,0,0,0,manifest.json,verified,row_319_manifest_does_not_claim_epsilon_o_constructed
