firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_maass_character_value,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,nu_Delta5_values_are_target_automorphic_data_not_source_orientation_transport
fw_maass_character_packet,automorphic_character_certified,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,certified_automorphic_character_does_not_construct_epsilon_o
fw_determinant_character,determinant_character,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,determinant_is_later_comparison_not_definition
fw_target_coxeter_graph,target_coxeter_graph,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,target_Coxeter_graph_does_not_supply_source_generator_signs
fw_no_braid_presentation,target_no_braid_presentation,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,no_braid_presentation_makes_word_evaluation_possible_only_after_signs_exist
fw_tau_square_relation,tau_square_relation,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,tau_square_criterion_without_tau_rows_does_not_define_character
fw_local_pfaffian_sign,local_pfaffian_sign_without_transport,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,local_sign_values_need_source_transport_and_are_row_320
fw_op_scalar_branch,OP_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,OP_scalar_branch_is_not_orientation_monodromy
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,scalar_trace_forgets_orientation_character
fw_squared_determinant,squared_determinant,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,squaring_erases_the_sign_character
fw_row320_sign_value,row320_sign_value,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,row_320_computes_generator_values_after_definition
fw_row321_det_comparison,row321_det_comparison,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,row_321_compares_to_determinant_after_definition
fw_row322_maass_comparison,row322_maass_comparison,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,row_322_compares_to_Maass_after_definition
fw_empty_sign_table,empty_generator_sign_table,true,0,chapters/05_subsections/05_2_orientation.tex:def:orientation-character-epsilon-o,verified,absence_of_generator_sign_rows_is_not_definition
