coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
definition_count,orientation_cocycle_definition_rows,1,1,0,certificates/orientation/rhomred_weyl_orientation_cocycle/definition_rows.csv,verified,one_row_309_formula_recorded
groupoid_object_rows_supplied,groupoid_object_row_count,0,0,0,certificates/orientation/rhomred_weyl_partial_action_groupoid/groupoid_object_rows.csv,verified,no_groupoid_object_rows_supplied
groupoid_arrow_rows_supplied,groupoid_arrow_row_count,0,0,0,certificates/orientation/rhomred_weyl_partial_action_groupoid/groupoid_arrow_rows.csv,verified,no_groupoid_arrow_rows_supplied
groupoid_composition_rows_supplied,groupoid_composition_row_count,0,0,0,certificates/orientation/rhomred_weyl_partial_action_groupoid/groupoid_composition_rows.csv,verified,no_groupoid_composition_rows_supplied
weyl_lift_rows_supplied,weyl_lift_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/weyl_lifts.csv,verified,no_weyl_lift_rows_supplied
coxeter_cocycle_rows_supplied,coxeter_cocycle_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/coxeter_cocycles.csv,verified,no_coxeter_cocycle_rows_supplied
composable_pair_rows_supplied,composable_pair_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle/composable_pair_rows.csv,verified,no_composable_pair_rows_supplied
cocycle_value_rows_supplied,cocycle_value_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle/cocycle_value_rows.csv,verified,no_cocycle_value_rows_supplied
normalization_rows_supplied,cocycle_normalization_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle/cocycle_normalization_rows.csv,verified,no_normalization_rows_supplied
cocycle_defect_rows_supplied,cocycle_defect_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle/cocycle_defect_rows.csv,verified,no_cocycle_defect_rows_supplied
orientation_cocycle_claim,orientation_cocycle_defined_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1462,verified,row_309_not_claimed_populated
