coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,cochain_transition_criterion_rows,1,1,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_transition/criterion_rows.csv,verified,one_row_312_transition_criterion_recorded
row311_witness_rows,cochain_witness_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_trivialization/cochain_witness_rows.csv,verified,no_row311_b_R_rows_supplied
row311_defect_rows,cochain_defect_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_trivialization/cochain_defect_rows.csv,verified,no_row311_coboundary_defect_rows_supplied
transition_orientation_multiplicative_rows,multiplicative_weyl_transport_row_count,0,0,0,certificates/orientation/transition_orientation_preservation/multiplicative_weyl_transport.csv,verified,no_coxeter_cochain_transition_rows_supplied
transition_orientation_defect_rows,transition_defect_row_count,0,0,0,certificates/orientation/transition_orientation_preservation/transition_defects.csv,verified,no_transition_defect_rows_supplied
orientation_transition_rows,reduced_orientation_transition_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/transitions.csv,verified,no_reduced_orientation_transition_rows_supplied
orientation_coxeter_rows,reduced_orientation_coxeter_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/coxeter_cocycles.csv,verified,no_reduced_orientation_coxeter_rows_supplied
transition_cochain_map_rows,transition_cochain_map_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_transition/transition_cochain_map_rows.csv,verified,no_rho_map_rows_supplied
cochain_transition_defect_rows,cochain_transition_defect_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_transition/cochain_transition_defect_rows.csv,verified,no_b_transition_defect_rows_supplied
cochain_transition_claim,cochain_transition_compatibility_proved_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1479,verified,row_312_not_claimed_proved
torsor_defect_claim,torsor_defect_computed_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1484,verified,rows_313_314_left_separate
