coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,cochain_trivialization_criterion_rows,1,1,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_trivialization/criterion_rows.csv,verified,one_row_311_cochain_criterion_recorded
row309_cocycle_value_rows,cocycle_value_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle/cocycle_value_rows.csv,verified,no_row309_cocycle_values_supplied
row309_cocycle_defect_rows,cocycle_defect_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle/cocycle_defect_rows.csv,verified,no_row309_closedness_rows_supplied
row310_cochain_complex_rows,cochain_complex_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_class_vanishing/cochain_complex_rows.csv,verified,no_row310_cochain_complex_supplied
row310_class_vanishing_rows,class_vanishing_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_class_vanishing/class_vanishing_rows.csv,verified,no_row310_rank_certificate_supplied
coxeter_cocycle_rows,coxeter_cocycle_row_count,0,0,0,certificates/orientation/k3e_reduced_orientation/coxeter_cocycles.csv,verified,no_coxeter_cochain_rows_supplied
cochain_witness_rows,cochain_witness_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_trivialization/cochain_witness_rows.csv,verified,no_b_R_witness_supplied
cochain_defect_rows,cochain_defect_row_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_cocycle_cochain_trivialization/cochain_defect_rows.csv,verified,no_d1_b_equals_c_defect_row_supplied
cochain_trivialization_claim,cochain_trivialization_constructed_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1474,verified,row_311_not_claimed_constructed
transition_compatibility_claim,transition_compatibility_constructed_count,0,0,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1479,verified,row_312_left_separate
