coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion,1,1,0,criterion_rows.csv,verified,one_row_321_determinant_criterion_recorded
conditional_generator_comparison_rows,local_count,3,3,0,generator_comparison_rows.csv,verified,three_conditional_generator_comparisons_recorded
row319_character_constructed_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_orientation_character_definition/manifest.json,verified,row_319_does_not_claim_constructed_orientation_character
row319_character_rows,import_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_character_definition/character_rows.csv,verified,row_319_has_no_character_rows
row320_simple_sign_rows,import_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_simple_sign_computation/simple_sign_rows.csv,verified,row_320_has_no_simple_sign_rows
row320_simple_sign_computation_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_orientation_simple_sign_computation/manifest.json,verified,row_320_does_not_claim_global_sign_computation
maass_typeII_determinant_minus_one_rows,import_count,3,3,0,certificates/automorphic/delta5_maass_character/character_values.csv,verified,three_type_II_determinant_values_available_as_target_data
maass_determinant_restriction_rows,import_count,1,1,0,certificates/automorphic/delta5_maass_character/character_relations.csv,verified,maass_packet_records_target_restriction_to_determinant
maass_orientation_character_claim,import_claim,0,0,0,certificates/automorphic/delta5_maass_character/manifest.json,verified,maass_packet_marks_orientation_character_false
epsilon_equals_det_claim,local_claim,0,0,0,manifest.json,verified,row_321_manifest_does_not_claim_epsilon_equals_det_proved
