firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_maass_character_value,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,nu_Delta5_values_are_target_automorphic_data_not_source_orientation_values
fw_maass_determinant_restriction,maass_determinant_restriction,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,nu_Delta5_restricted_to_det_W_does_not_construct_epsilon_o
fw_determinant_character_only,determinant_character_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,det_W_is_comparison_target_not_source_orientation_character
fw_target_coxeter_graph,target_coxeter_graph,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,Coxeter_presentation_does_not_supply_generator_sign_rows
fw_row319_definition,row319_definition_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,definition_without_character_rows_does_not_compare_to_det_W
fw_row320_local_formula,row320_local_formula_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,local_formula_without_finite_sign_rows_does_not_prove_global_equality
fw_o2_ledger_only,O2_obstruction_ledger_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,O2_blocked_ledger_has_no_wall_charts_or_sign_rows
fw_pfin_ledger_only,finite_pfaffian_ledger_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,Pfin_blocked_ledger_has_no_wall_charts_or_sign_rows
fw_squared_determinant,squared_determinant,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,squaring_erases_the_orientation_character
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,scalar_trace_forgets_the_orientation_line_character
fw_op_scalar_branch,OP_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,OP_scalar_branch_is_not_source_orientation_monodromy
fw_empty_generator_table,empty_generator_sign_table,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,empty_source_sign_tables_are_not_equality_on_generators
fw_row322_maass_comparison,row322_maass_comparison,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-determinant-criterion,verified,row_322_compares_to_Maass_after_source_det_comparison
