firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_maass_character_value,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,Maass_values_are_target_data_not_source_orientation_values
fw_maass_determinant_restriction_only,maass_determinant_restriction_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,nu_Delta5_restricted_to_det_W_does_not_prove_epsilon_o_equals_det_W
fw_row321_criterion_only,row321_criterion_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,row_321_packet_records_a_criterion_not_a_source_comparison
fw_row320_local_formula,row320_local_formula_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,local_wall_formula_without_source_sign_rows_does_not_compare_to_Maass
fw_determinant_character_only,determinant_character_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,det_W_is_common_target_but_not_the_source_orientation_character
fw_target_coxeter_graph,target_coxeter_graph,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,Coxeter_data_do_not_construct_epsilon_o
fw_squared_determinant,squared_determinant,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,squaring_erases_the_character
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,scalar_trace_forgets_orientation_monodromy
fw_op_scalar_branch,OP_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,OP_scalar_branch_is_not_source_orientation_transport
fw_automorphic_line_only,automorphic_line_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,automorphic_line_data_do_not_supply_compact_source_orientation
fw_row323_chamber_comparison,row323_chamber_comparison,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-maass-criterion,verified,row_323_is_chamber_automorphism_data_not_type_II_W2_source_comparison
