coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion,1,1,0,criterion_rows.csv,verified,one_row_320_sign_criterion_recorded
row319_character_constructed_claim,import_claim,0,0,0,certificates/orientation/rhomred_weyl_orientation_character_definition/manifest.json,verified,row_319_does_not_claim_constructed_orientation_character
row319_generator_sign_rows,import_count,0,0,0,certificates/orientation/rhomred_weyl_orientation_character_definition/generator_sign_rows.csv,verified,row_319_has_no_generator_sign_rows
o2_wall_object_rows,import_count,0,0,0,certificates/wall_atlas/k3e_o2_atlas/wall_objects.csv,verified,O2_has_no_wall_object_rows
o2_wall_chart_rows,import_count,0,0,0,certificates/wall_atlas/k3e_o2_atlas/wall_charts.csv,verified,O2_has_no_wall_chart_rows
o2_certification_claim,import_claim,0,0,0,certificates/wall_atlas/k3e_o2_atlas/manifest.json,verified,O2_manifest_does_not_claim_certification
pfin_wall_chart_rows,import_count,0,0,0,certificates/pfaffian/k3e_finite_pfaffian/wall_charts.csv,verified,finite_pfaffian_has_no_wall_chart_rows
pfin_certification_claim,import_claim,0,0,0,certificates/pfaffian/k3e_finite_pfaffian/manifest.json,verified,finite_pfaffian_manifest_does_not_claim_certification
maass_typeII_minus_one_rows,import_count,3,3,0,certificates/automorphic/delta5_maass_character/character_values.csv,verified,three_type_II_maass_values_available_as_firewall
maass_orientation_character_claim,import_claim,0,0,0,certificates/automorphic/delta5_maass_character/manifest.json,verified,maass_packet_marks_orientation_character_false
simple_sign_rows,local_count,0,0,0,simple_sign_rows.csv,verified,no_row_320_simple_sign_rows_supplied
simple_sign_computation_claim,local_claim,0,0,0,manifest.json,verified,row_320_manifest_does_not_claim_sign_computation
