firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_maass_character_value,maass_character_value,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,nu_Delta5_s_delta_i_minus_one_is_target_automorphic_data_not_source_wall_sign
fw_automorphic_character_certified,automorphic_character_certified,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,certified_Maass_packet_does_not_construct_Pfaffian_wall_chart
fw_determinant_character,determinant_character,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,determinant_comparison_is_row_321_not_row_320_source_computation
fw_row319_definition,row319_definition_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,definition_without_generator_sign_rows_does_not_compute_values
fw_local_formula_only,local_formula_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,Appendix_E_formula_needs_retained_wall_chart_rows
fw_o2_ledger_only,O2_obstruction_ledger_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,O2_blocked_ledger_has_no_wall_charts_or_sign_rows
fw_pfin_ledger_only,finite_pfaffian_ledger_only,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,Pfin_blocked_ledger_has_no_wall_charts_or_sign_rows
fw_target_coxeter_graph,target_coxeter_graph,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,target_Coxeter_graph_does_not_compute_source_Pfaffian_signs
fw_op_scalar_branch,OP_scalar_branch,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,OP_scalar_branch_is_not_orientation_monodromy
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,scalar_trace_forgets_orientation_character
fw_squared_determinant,squared_determinant,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,squaring_erases_the_minus_sign
fw_empty_sign_table,empty_sign_table,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,absence_of_sign_rows_is_not_a_minus_one_computation
fw_row321_det_comparison,row321_det_comparison,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,row_321_compares_after_row_320_source_signs
fw_row322_maass_comparison,row322_maass_comparison,true,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,row_322_compares_to_Maass_after_source_signs
